,total_RE,white,black,aindian,asian,pacisland,other,latinx,total_poverty,under_poverty,income,county,state,tract,GEOID10,acs_year
99,4314.0,3677.0,38.0,0.0,70.0,0.0,69.0,460.0,4242.0,653.0,50776.0,011,53,040415,53011040415,2015
100,3414.0,3168.0,26.0,37.0,38.0,8.0,0.0,137.0,3414.0,148.0,84089.0,011,53,040416,53011040416,2015
101,5051.0,4653.0,82.0,88.0,64.0,0.0,106.0,58.0,4614.0,356.0,75786.0,011,53,040504,53011040504,2015
102,5993.0,5479.0,2.0,39.0,107.0,0.0,139.0,206.0,5946.0,203.0,93649.0,011,53,040505,53011040505,2015
103,2289.0,1842.0,0.0,35.0,9.0,0.0,106.0,297.0,2274.0,358.0,44412.0,011,53,040507,53011040507,2015
104,6615.0,6010.0,103.0,0.0,110.0,20.0,209.0,163.0,6589.0,232.0,78958.0,011,53,040508,53011040508,2015
105,3153.0,2672.0,0.0,0.0,22.0,16.0,159.0,284.0,3153.0,578.0,42688.0,011,53,040509,53011040509,2015
106,5240.0,4966.0,0.0,63.0,43.0,0.0,25.0,143.0,5092.0,376.0,78946.0,011,53,040510,53011040510,2015
107,2307.0,2040.0,0.0,54.0,0.0,0.0,143.0,70.0,2307.0,191.0,73309.0,011,53,040511,53011040511,2015
108,4584.0,4113.0,32.0,0.0,90.0,8.0,87.0,254.0,4516.0,361.0,80132.0,011,53,040603,53011040603,2015
109,6171.0,4786.0,127.0,8.0,201.0,0.0,303.0,735.0,6078.0,1034.0,70379.0,011,53,040604,53011040604,2015
110,5126.0,4437.0,228.0,6.0,228.0,0.0,77.0,150.0,5104.0,143.0,78774.0,011,53,040605,53011040605,2015
111,4258.0,3274.0,100.0,53.0,442.0,32.0,166.0,191.0,4258.0,104.0,109844.0,011,53,040608,53011040608,2015
112,4799.0,3934.0,15.0,6.0,495.0,0.0,193.0,156.0,4791.0,41.0,125897.0,011,53,040609,53011040609,2015
113,3496.0,2981.0,27.0,21.0,299.0,0.0,42.0,126.0,3496.0,50.0,121447.0,011,53,040610,53011040610,2015
114,6695.0,5705.0,146.0,124.0,98.0,0.0,198.0,338.0,6684.0,710.0,64338.0,011,53,040703,53011040703,2015
115,3534.0,2909.0,62.0,4.0,53.0,0.0,141.0,365.0,3519.0,441.0,45324.0,011,53,040706,53011040706,2015
116,3227.0,3004.0,0.0,45.0,21.0,10.0,59.0,88.0,3139.0,149.0,60000.0,011,53,040707,53011040707,2015
117,4403.0,3589.0,163.0,0.0,325.0,0.0,84.0,242.0,4390.0,208.0,66810.0,011,53,040709,53011040709,2015
118,5602.0,4584.0,43.0,0.0,28.0,0.0,180.0,758.0,5531.0,203.0,63450.0,011,53,040710,53011040710,2015
119,3712.0,2832.0,115.0,0.0,169.0,32.0,133.0,431.0,3704.0,524.0,52917.0,011,53,040711,53011040711,2015
120,5897.0,4331.0,88.0,119.0,527.0,17.0,466.0,349.0,5864.0,433.0,72282.0,011,53,040712,53011040712,2015
121,5490.0,4327.0,13.0,12.0,215.0,22.0,317.0,584.0,5468.0,351.0,83413.0,011,53,040803,53011040803,2015
122,6201.0,5334.0,93.0,68.0,160.0,0.0,102.0,444.0,6190.0,498.0,89408.0,011,53,040805,53011040805,2015
123,5100.0,4481.0,24.0,0.0,221.0,16.0,151.0,207.0,5067.0,375.0,71513.0,011,53,040806,53011040806,2015
124,1789.0,1545.0,17.0,4.0,33.0,0.0,46.0,140.0,1789.0,229.0,48977.0,011,53,040808,53011040808,2015
125,6210.0,3610.0,98.0,13.0,736.0,68.0,345.0,1340.0,6189.0,823.0,52074.0,011,53,040809,53011040809,2015
126,2723.0,2047.0,17.0,0.0,162.0,0.0,83.0,414.0,2723.0,179.0,68304.0,011,53,040810,53011040810,2015
127,6532.0,5373.0,70.0,42.0,27.0,0.0,165.0,855.0,6483.0,1459.0,44803.0,011,53,040904,53011040904,2015
